"plateid1","min","max","difference"
304,709830.2756454181,1615962.0079866913,906131.7323412732
715,5857012.048343201,6865114.1757312985,1008102.1273880973
823,3533.0850747169493,1209179.7661383392,1205646.6810636222
704,41426.89740944505,1315338.211533665,1273911.3141242198
815,65722.1976545111,1501029.0127805057,1435306.8151259946
702,744489.4221022073,2984898.0238521365,2240408.601749929
102,2878188.5270740134,5808114.272394574,2929925.745320561
301,8475181.626913771,13141550.936551102,4666369.3096373305
709,2863376.237573362,7793078.998066711,4929702.760493349
801,10786508.945571488,20558130.79824053,9771621.852669043
714,8373827.846053397,20742597.237469055,12368769.391415657
101,15414108.768048394,27991512.98859272,12577404.220544327
501,4452651.4133379515,19322239.16092125,14869587.747583298
201,14415577.275161996,36544840.78977653,22129263.51461453
701,10614444.993829155,34376856.02384261,23762411.030013457
802,12050214.222247303,50030057.836791724,37979843.61454442
901,1113.273501096222,101504809.69633031,101503696.42282921
